L01 L02 L03 L04 L05 L06 L07 L08 L09 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30
342 34/34 10/10 05/05 48/48 42/46 29/29 24/36 26/26 05/14 34/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/23
343 45/45 10/10 07/22 48/48 14/46 25/25 08/36 26/26 05/05 34/34 46/46 25/25 10/10 25/25 22/22 45/45 32/32 40/40 43/43 22/22 14/14 09/09 45/45 06/06 32/32 18/28 06/06 19/19 11/30 23/23
344 34/34 10/25 05/46 04/08 42/46 25/29 36/36 26/48 14/14 15/20 46/46 41/41 10/10 16/16 22/22 32/45 08/08 08/15 17/43 22/22 10/10 04/43 29/29 06/06 32/32 49/49 46/46 17/17 21/21 18/23
345 45/45 07/07 41/41 46/46 12/12 45/45 08/08 33/48 19/19 20/22 19/30 38/38 34/34 16/36 33/33 02/32 07/07 40/40 17/17 12/12 14/14 42/42 43/45 18/18 40/40 18/48 34/46 50/50 11/11 07/42
346 45/45 10/50 07/41 48/48 14/14 25/29 25/36 26/26 19/19 22/22 46/46 25/25 10/10 27/27 22/22 45/45 08/08 40/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 28/29 06/06 19/50 11/21 18/23
347 45/45 07/07 07/41 46/46 47/47 45/45 08/30 33/33 19/19 20/20 19/30 38/38 24/34 18/18 33/33 02/41 07/07 40/40 17/49 27/27 10/14 42/42 45/45 19/19 40/40 48/48 34/34 50/50 11/11 42/42
348 45/45 10/10 07/46 48/48 46/46 25/25 25/25 26/26 05/05 34/34 46/46 18/18 10/10 25/25 22/22 32/45 08/32 40/40 33/33 22/22 14/14 09/09 29/29 06/31 32/32 28/28 06/46 19/36 11/21 18/23
349 34/45 10/10 46/46 48/48 46/46 16/25 36/36 03/48 14/14 20/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/15 43/43 22/22 10/41 04/04 29/29 06/06 32/32 49/49 46/46 19/36 21/30 23/23
350 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 20/20 19/19 38/38 34/34 16/16 33/33 02/41 07/07 40/40 17/17 12/27 10/14 09/42 43/45 19/19 40/40 48/48 34/34 50/50 11/11 42/42
351 34/45 10/10 05/46 08/48 46/46 25/29 24/24 26/48 05/14 34/34 46/46 41/41 10/10 25/25 22/22 32/45 08/32 08/15 17/33 22/22 10/10 02/04 29/29 06/06 32/32 28/49 06/46 17/36 21/30 18/37
352 45/45 10/10 22/46 48/48 11/46 25/25 08/25 03/26 05/14 22/34 46/46 25/25 10/10 25/25 22/22 32/45 32/32 40/40 33/33 22/22 10/10 09/09 29/29 06/06 32/32 28/49 06/46 19/19 11/21 18/23
353 45/45 07/07 07/07 46/46 12/12 45/45 08/08 03/48 14/19 04/20 19/30 38/38 24/34 16/16 33/33 02/41 07/07 40/40 17/49 27/27 14/14 42/42 45/45 18/18 40/40 18/48 34/34 50/50 11/11 18/42
354 45/45 07/07 07/07 46/46 12/12 45/45 08/08 48/48 19/19 04/20 19/30 38/38 24/34 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 29/45 18/19 40/40 48/48 34/34 50/50 11/11 07/42
355 45/45 07/07 07/41 41/46 11/12 45/45 08/08 48/48 19/19 15/22 19/30 04/38 34/34 36/36 33/33 02/32 07/07 40/40 17/17 12/12 14/14 42/42 29/43 09/18 40/40 18/18 34/46 50/50 11/11 42/42
356 45/45 50/50 07/07 46/46 12/12 29/45 08/25 03/03 19/19 20/22 30/30 38/38 10/10 18/18 22/22 32/32 07/20 40/40 34/34 27/27 10/14 09/09 21/29 31/31 32/40 18/48 34/34 29/50 11/11 18/18
357 34/34 10/10 05/46 08/48 46/46 25/29 24/36 26/26 14/14 34/34 46/46 41/41 10/10 25/25 15/22 45/45 08/08 08/08 17/33 22/22 10/10 04/04 29/29 06/06 32/32 28/49 46/46 17/19 21/21 23/37
358 34/45 10/10 05/46 04/08 46/46 25/29 24/24 26/48 05/14 22/34 46/46 41/41 10/10 16/25 22/22 45/45 08/32 08/08 43/43 22/22 10/10 04/09 29/29 06/31 32/32 28/49 06/46 19/19 11/21 23/23
359 45/45 07/50 07/07 48/48 12/12 29/45 08/13 03/03 19/19 22/22 30/30 11/38 22/22 25/36 22/22 02/32 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/32 18/18 34/34 29/50 11/11 18/18
360 03/45 07/50 41/41 46/46 11/12 43/45 08/25 03/03 14/19 20/22 19/30 38/38 22/22 36/36 33/33 02/02 07/20 40/40 34/34 12/27 10/14 09/42 29/29 18/18 40/40 48/48 34/46 29/50 11/11 42/42
361 45/45 07/07 07/41 46/46 12/12 43/45 08/25 03/03 19/19 22/22 30/30 38/38 10/22 36/36 33/33 02/02 20/20 40/40 34/34 27/27 14/14 09/09 29/29 06/31 32/40 18/18 06/34 50/50 11/11 18/42
362 45/45 07/07 41/41 46/46 12/12 29/45 08/08 03/03 19/19 22/22 19/46 38/38 22/34 16/36 22/33 02/32 07/20 40/40 17/34 27/27 10/14 09/09 26/29 06/31 26/32 18/48 34/34 29/50 11/11 18/18
363 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/33 19/19 20/22 19/19 38/38 22/34 18/18 33/33 02/02 07/07 19/40 17/17 12/27 14/14 42/42 29/45 18/31 40/40 18/48 34/34 50/50 11/11 42/42
364 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 20/22 19/19 04/38 22/34 16/18 33/33 32/32 07/07 40/40 17/17 12/12 14/14 42/42 29/45 18/18 40/40 18/48 34/46 50/50 11/11 42/42
365 45/45 10/10 46/46 48/48 46/46 25/29 08/36 03/03 14/14 34/34 46/46 18/18 10/10 27/27 22/22 45/45 08/32 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 28/49 06/46 19/36 11/11 23/23
366 45/45 10/10 46/46 04/48 11/11 29/29 25/36 03/26 05/14 22/34 46/46 25/25 10/10 25/27 22/22 45/45 32/32 40/40 33/33 22/22 10/14 02/02 29/29 06/06 32/32 28/28 46/46 19/19 21/30 23/23
367 45/45 07/07 37/41 46/46 12/12 45/45 08/08 03/03 19/19 20/22 19/30 38/38 22/34 18/18 33/33 32/32 07/07 40/40 17/17 12/12 14/14 09/42 45/45 09/09 40/40 18/18 34/34 50/50 11/11 42/42
368 45/45 07/07 07/41 46/46 11/12 45/45 08/08 33/48 19/19 04/20 19/19 38/38 22/24 16/16 33/33 02/41 07/07 40/40 17/17 12/27 10/14 42/42 43/45 09/18 40/40 48/48 34/34 50/50 11/11 07/42
369 45/45 07/07 41/41 46/46 11/12 45/45 08/08 03/03 19/19 20/22 19/19 38/38 34/34 18/18 33/33 02/32 07/07 40/40 17/17 12/12 10/14 42/42 29/45 09/19 40/40 18/18 34/34 50/50 11/11 42/42
370 45/45 10/10 46/46 08/08 11/11 25/29 36/36 26/26 05/05 34/34 46/46 25/41 10/10 16/16 22/22 32/45 32/32 08/08 43/43 17/22 10/10 04/04 29/29 06/06 32/32 28/28 46/46 19/19 11/21 18/18
371 45/45 07/50 41/41 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/19 11/38 22/22 36/36 33/33 32/32 20/20 40/40 17/34 27/27 10/14 09/42 21/29 06/06 32/40 18/18 34/46 50/50 11/11 18/18
372 45/45 10/10 41/46 04/48 14/46 25/25 25/36 03/26 05/19 22/34 46/46 25/25 10/22 16/18 22/22 45/45 08/32 40/40 33/33 22/22 14/14 09/42 29/45 06/06 32/32 18/18 06/46 19/19 11/21 18/18
373 45/45 07/07 37/41 46/46 11/11 45/45 08/08 33/33 19/19 04/20 19/19 38/38 24/34 18/36 33/33 32/41 07/07 40/40 17/17 27/27 14/14 42/42 43/45 09/09 40/40 18/48 34/34 50/50 11/11 18/42
374 45/45 07/50 41/41 46/48 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 22/34 16/18 22/33 02/02 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 48/48 34/34 50/50 11/11 18/18
375 45/45 10/10 41/46 48/48 11/14 25/25 36/36 26/26 19/19 22/34 46/46 25/25 10/10 18/25 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/14 29/29 06/06 32/32 18/28 34/46 19/50 21/21 23/23
376 34/34 10/33 05/46 04/04 46/46 29/29 24/36 03/26 05/14 22/34 46/46 41/41 10/28 25/25 22/22 32/45 08/32 08/08 43/43 22/22 10/10 04/09 29/29 06/24 32/40 28/49 06/46 19/19 11/21 23/23
377 34/34 10/10 05/46 04/04 46/46 25/29 36/36 26/48 05/14 22/34 46/46 41/41 10/10 16/16 15/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 06/46 17/19 21/21 23/23
378 45/45 07/07 07/41 46/46 12/12 45/45 08/08 33/48 14/19 20/22 19/30 38/38 22/34 18/36 33/33 32/32 07/07 40/40 17/17 12/12 14/14 42/42 45/45 09/18 40/40 48/48 34/46 50/50 11/11 42/42
379 45/45 07/07 41/41 46/46 12/12 43/45 08/08 03/03 19/19 22/22 19/46 38/38 22/22 16/36 33/33 02/32 20/20 40/40 17/34 27/27 14/14 09/09 29/29 31/31 40/40 48/48 34/34 50/50 11/11 18/18
380 03/45 50/50 41/41 46/46 12/12 45/45 08/08 03/03 19/19 20/22 19/30 38/38 22/22 18/36 33/33 02/32 07/07 40/40 17/17 12/12 14/14 09/42 29/29 09/09 40/40 18/48 34/34 50/50 11/11 07/42
381 45/45 07/07 41/41 46/46 11/11 45/45 08/08 33/33 19/19 20/20 30/30 38/38 34/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 10/14 09/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
382 45/45 07/07 07/07 46/46 11/11 45/45 08/08 33/48 19/19 04/04 19/19 38/38 22/24 16/16 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 43/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
383 45/45 07/07 04/04 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/19 38/38 22/34 36/36 22/22 02/31 20/20 40/40 17/34 27/27 10/14 09/09 26/29 06/31 40/40 18/48 34/34 29/50 11/11 07/18
384 34/34 10/10 46/46 04/08 46/46 25/29 24/24 14/26 14/14 20/20 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/40 17/43 22/22 10/41 04/43 29/29 06/06 32/32 28/49 46/46 19/19 21/30 23/23
385 45/45 10/10 07/46 48/48 14/46 25/29 36/36 26/26 05/19 22/34 46/46 25/25 10/10 27/27 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 18/18 06/34 19/19 21/30 18/23
386 45/45 10/10 22/46 46/48 14/46 25/25 25/36 03/26 05/14 22/34 46/46 18/25 10/10 25/27 22/22 45/45 08/32 40/40 43/43 22/22 10/14 09/09 45/45 06/06 32/32 28/49 06/06 19/19 21/30 23/23
387 34/45 10/10 46/46 04/04 46/46 25/25 24/36 26/48 14/14 34/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 08/15 17/17 22/22 41/41 04/04 29/29 06/06 32/32 49/49 46/46 19/36 21/21 18/37
388 45/45 10/10 05/05 04/48 46/46 25/29 24/36 03/48 05/05 22/37 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/43 22/22 10/41 02/04 29/29 06/06 32/32 49/49 46/46 19/36 21/30 23/37
389 45/45 07/07 41/41 46/46 12/12 29/45 08/08 03/03 19/19 22/22 19/46 38/38 22/34 16/36 22/33 02/02 07/20 40/40 34/34 27/27 10/14 42/42 21/29 06/31 40/40 18/48 34/34 19/50 11/11 18/18
390 34/45 10/10 05/05 08/48 42/46 25/29 24/24 03/48 05/05 22/34 46/46 25/41 10/10 25/25 22/22 45/45 32/32 08/08 43/43 22/22 10/14 02/04 29/29 06/31 32/40 49/49 46/46 19/19 01/11 23/23
391 45/45 07/50 07/37 46/46 12/12 29/29 08/08 03/03 19/19 20/22 19/46 38/38 10/22 18/18 22/22 02/32 07/20 40/40 17/34 27/27 14/14 09/09 29/29 31/31 40/40 18/48 06/46 50/50 11/11 18/42
392 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/33 19/19 04/20 19/19 38/38 22/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 07/42
393 45/45 07/07 07/41 46/46 12/47 45/45 08/08 33/48 19/19 20/20 19/30 38/38 34/34 16/16 33/33 02/41 07/07 40/40 17/49 27/27 14/14 42/42 45/45 18/19 40/40 18/18 34/34 50/50 11/11 42/42
394 45/45 10/10 05/46 04/08 46/46 29/29 24/24 03/14 05/14 22/34 46/46 41/41 10/10 16/25 22/22 45/45 08/32 08/08 17/43 22/22 41/41 04/04 29/29 06/06 32/32 49/49 46/46 19/36 21/30 23/37
395 45/45 07/07 41/41 46/46 11/47 45/45 08/08 33/33 14/19 20/20 19/19 38/38 34/34 16/16 33/33 32/41 07/07 40/40 17/17 12/27 10/14 42/42 43/45 19/19 40/40 48/48 34/34 50/50 11/11 42/42
396 45/45 10/10 05/46 48/48 46/46 25/29 24/25 26/26 14/14 15/22 46/46 25/41 10/10 25/25 22/22 45/45 32/32 08/08 17/17 22/22 10/10 04/09 29/29 06/06 32/32 28/28 46/46 19/19 11/21 23/23
397 34/45 01/10 05/46 04/04 42/46 29/29 24/25 03/03 05/14 34/34 46/46 25/25 10/28 16/25 22/22 45/45 08/08 08/40 43/43 22/22 10/10 02/04 29/29 06/06 32/40 28/49 06/46 19/19 01/21 23/23
398 34/34 10/10 05/46 04/48 42/46 29/29 36/36 26/48 05/14 22/22 46/46 41/41 10/10 16/25 15/22 45/45 08/08 08/15 17/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/23
399 45/45 10/10 46/46 48/48 46/46 25/29 08/36 26/26 05/14 34/34 46/46 18/25 10/10 25/27 22/22 45/45 08/32 40/40 33/43 22/22 14/14 09/09 29/45 06/06 32/32 28/28 06/46 19/36 11/21 23/23
400 45/45 10/10 46/46 04/04 42/46 25/29 24/36 14/48 14/14 22/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/43 22/22 10/41 04/04 29/29 06/06 32/32 49/49 46/46 19/19 21/30 18/23
401 34/34 10/10 05/05 04/04 42/46 29/29 36/36 26/26 14/14 22/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/23
402 03/45 07/07 41/41 46/46 12/12 45/45 08/47 03/03 14/19 22/22 30/30 38/38 22/22 18/36 33/33 02/32 07/20 40/40 17/34 12/12 10/14 42/42 29/29 18/18 40/40 48/48 34/46 29/50 11/11 42/42
403 45/45 07/07 07/07 46/46 11/11 45/45 08/08 33/33 19/19 04/15 19/19 38/38 24/24 16/18 33/33 02/41 07/07 40/40 17/17 12/12 10/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 18/42
404 45/45 10/10 22/46 08/48 46/46 25/25 25/36 26/26 05/05 22/22 46/46 18/18 10/10 25/27 22/22 45/45 32/32 40/40 33/43 22/22 10/14 09/09 29/45 06/06 32/32 18/28 06/06 19/19 21/30 23/23
405 45/45 10/10 07/07 48/48 14/46 25/25 25/36 26/26 05/05 22/22 46/46 25/25 10/10 25/27 22/22 32/32 08/08 40/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 18/18 06/06 19/19 21/30 23/23
406 45/45 07/07 07/07 46/46 11/12 45/45 08/08 03/33 19/19 04/20 19/19 38/38 24/34 18/18 33/33 02/32 07/07 40/40 17/17 27/27 10/14 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 07/42
407 34/34 10/10 05/05 48/48 46/46 25/29 36/36 26/48 05/14 20/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
408 45/45 10/10 22/22 48/48 14/14 25/25 08/08 03/26 05/05 22/22 46/46 18/18 10/10 27/27 22/22 45/45 20/32 40/40 33/33 22/22 10/14 09/09 29/45 06/06 32/32 49/49 06/46 19/19 11/21 23/23
409 45/45 07/07 07/41 46/46 12/47 45/45 08/08 33/33 19/19 04/20 19/30 38/38 24/34 16/18 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
410 34/34 10/10 05/46 04/48 46/46 29/29 36/36 03/48 14/14 20/22 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 18/18
411 45/45 07/07 37/41 46/46 12/12 45/45 08/08 03/48 19/19 20/22 19/19 38/38 24/34 16/18 33/33 02/32 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/18 40/40 18/18 46/46 50/50 11/11 42/42
412 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/33 19/19 04/20 19/19 38/38 22/24 16/18 26/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 43/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
413 45/45 50/50 07/07 46/46 12/12 29/29 08/25 03/03 19/19 22/22 19/30 38/38 22/22 36/36 22/33 02/02 20/20 40/40 34/34 27/27 10/10 09/09 29/29 06/31 32/32 18/18 34/34 29/29 11/11 18/18
414 03/45 07/07 37/41 46/46 11/12 45/45 08/25 03/03 19/19 20/22 19/30 11/38 22/34 36/36 33/33 02/32 07/20 08/40 17/17 12/27 10/10 09/09 29/29 06/09 32/40 48/48 34/46 29/50 11/11 07/18
415 45/45 07/07 37/41 46/46 11/12 45/45 08/08 33/33 19/19 04/20 19/19 38/38 24/24 16/16 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 18/48 34/46 50/50 11/11 38/42
416 45/45 07/50 37/41 46/46 11/12 43/43 47/47 03/03 14/19 20/22 19/30 38/38 22/22 18/36 33/33 02/02 07/07 40/40 17/34 27/27 10/14 42/42 29/29 09/18 40/40 48/48 34/46 29/50 11/11 07/42
417 45/45 07/07 07/07 46/46 47/47 45/45 08/08 33/33 14/19 04/20 30/30 38/38 24/24 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
418 34/45 10/10 05/46 04/48 42/46 25/25 24/24 03/26 14/14 22/34 46/46 25/25 10/10 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/40 28/49 46/46 19/19 11/21 18/23
419 45/45 07/50 07/07 46/48 12/12 29/29 08/08 03/03 19/19 22/22 46/46 11/38 22/22 16/36 22/22 02/32 07/32 40/40 34/34 27/27 10/10 09/09 29/29 31/31 32/40 18/18 34/34 29/29 11/11 18/18
420 45/45 07/07 41/41 46/48 12/12 43/45 13/25 03/03 19/19 22/22 19/30 38/38 22/34 36/36 22/22 02/32 20/20 40/40 34/34 27/27 14/14 09/42 29/29 31/31 40/40 18/48 34/34 29/29 11/11 18/18
421 45/45 10/10 46/46 08/48 11/11 25/29 24/36 48/48 14/14 22/22 46/46 25/25 10/10 16/27 22/22 32/45 32/32 40/40 43/43 22/22 10/10 04/09 29/29 06/06 32/32 28/49 46/46 19/19 11/11 18/18
422 45/45 07/07 41/41 46/46 12/12 45/45 08/08 03/33 19/19 22/22 19/30 38/38 22/34 16/18 33/33 02/02 07/07 40/40 17/34 12/27 14/14 42/42 29/45 09/19 40/40 18/48 34/34 50/50 11/11 42/42
423 34/45 10/10 46/46 04/48 46/46 29/29 24/24 26/26 05/14 22/34 46/46 41/41 10/10 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/14 02/04 29/29 06/06 32/32 28/49 46/46 19/19 11/21 23/23
424 45/45 07/50 07/41 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/30 38/38 34/34 36/36 22/33 02/02 07/20 40/40 17/34 27/27 10/14 09/42 29/29 06/18 32/40 18/48 34/34 50/50 11/21 18/42
425 34/34 10/10 46/46 04/48 46/46 25/25 24/24 26/48 05/05 20/20 46/46 41/41 10/10 16/25 22/22 45/45 08/32 08/08 17/17 22/22 10/41 04/43 29/29 06/06 32/32 49/49 46/46 17/19 11/30 23/37
426 45/45 07/07 41/41 46/46 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 34/34 16/18 22/33 02/32 07/20 40/40 17/34 27/27 14/14 09/09 29/29 06/31 26/32 48/48 34/34 50/50 11/11 18/42
427 45/45 07/07 37/41 46/46 11/12 43/43 47/47 03/03 14/19 20/22 19/30 38/38 22/22 18/36 33/33 02/02 07/07 40/40 34/34 12/27 10/14 42/42 29/29 09/31 40/40 48/48 34/34 29/50 11/11 42/42
428 45/45 07/07 37/41 46/46 11/47 45/45 08/08 33/33 19/19 04/20 19/30 38/38 24/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 10/14 42/42 43/45 19/19 40/40 48/48 34/34 50/50 11/11 42/42
429 45/45 10/10 46/46 48/48 42/46 25/29 24/25 14/26 05/05 22/34 46/46 25/41 10/10 27/27 22/22 45/45 32/32 08/40 33/33 22/22 10/10 02/04 29/29 06/06 32/32 18/28 46/46 19/36 11/21 23/23
430 34/34 10/10 05/46 04/48 42/46 25/29 36/36 26/48 05/14 20/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 23/23
431 45/45 07/50 07/41 46/46 12/12 45/45 08/08 03/03 19/19 22/22 30/46 38/38 10/22 36/36 33/33 02/32 20/20 08/40 17/34 27/27 10/10 09/09 21/29 31/31 32/40 18/48 34/34 50/50 11/11 18/18
432 45/45 07/50 07/41 46/46 12/12 29/43 13/13 03/03 19/19 22/22 19/19 38/38 22/22 16/36 22/33 02/32 07/20 40/40 17/34 27/27 10/14 09/09 26/29 31/31 26/40 18/48 34/46 50/50 11/11 18/18
433 45/45 10/10 05/46 04/48 42/46 29/29 24/36 26/48 05/05 22/34 46/46 41/41 10/10 25/25 22/22 32/45 08/08 08/08 43/43 22/22 10/14 02/02 29/29 06/31 40/40 49/49 46/46 19/19 11/21 23/23
434 03/03 07/50 41/41 46/46 12/12 45/45 08/25 03/03 14/19 20/22 30/30 38/38 22/22 18/36 33/33 02/02 07/20 40/40 34/34 12/27 10/14 09/42 29/29 18/18 40/40 48/48 34/34 29/29 11/11 42/42
435 45/45 07/07 41/41 46/46 11/12 45/45 08/08 33/35 19/19 04/20 19/19 38/38 34/34 16/16 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 18/48 34/46 50/50 11/11 42/42
436 45/45 07/07 41/41 46/48 12/12 29/29 08/13 03/03 19/19 22/22 19/19 38/38 22/34 16/16 33/33 02/02 20/20 40/40 17/17 27/27 10/10 09/42 26/29 31/31 32/40 18/48 34/34 50/50 11/21 18/18
437 45/45 07/07 41/41 46/46 12/12 29/45 13/13 03/03 19/19 22/22 19/19 38/38 22/34 16/36 22/22 32/32 20/20 40/40 34/34 27/27 14/14 09/09 29/29 31/31 32/40 18/48 34/46 19/29 11/11 18/18
438 45/45 10/10 46/46 48/48 46/46 25/25 24/25 26/26 05/14 34/34 46/46 25/25 10/28 16/27 22/22 45/45 32/32 08/40 43/43 22/22 10/14 02/09 29/29 06/06 32/32 18/49 06/46 19/19 11/30 18/18
439 45/45 10/10 07/07 48/48 14/46 25/25 36/36 26/26 05/05 34/34 46/46 18/25 10/10 16/25 22/22 45/45 08/32 40/40 33/43 22/22 14/14 09/09 29/29 06/06 32/32 18/18 06/34 19/19 11/21 23/23
440 45/45 07/50 37/41 46/46 12/12 45/45 08/08 03/03 19/19 20/22 19/19 38/38 24/34 18/36 33/33 02/41 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/18 40/40 18/48 34/46 50/50 11/11 42/42
441 34/34 10/10 05/05 48/48 42/46 25/29 24/36 26/48 05/14 20/22 46/46 41/41 10/10 16/25 15/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
442 45/45 07/07 41/41 46/46 12/12 45/45 08/08 33/33 19/19 20/22 19/19 04/38 24/34 18/18 33/33 32/32 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/09 40/40 18/18 46/46 50/50 11/11 42/42
443 45/45 10/10 22/46 48/48 14/46 25/25 08/08 26/26 05/05 34/34 46/46 18/18 10/10 27/27 22/22 45/45 08/32 40/40 33/43 22/22 10/14 09/42 29/45 06/31 32/32 18/28 06/46 19/36 11/21 18/23
444 45/45 07/50 07/41 46/46 12/12 29/43 08/25 03/03 19/19 22/22 30/30 11/38 10/22 36/36 22/22 32/32 20/20 40/40 34/34 27/27 10/14 09/09 21/29 31/31 40/40 18/18 34/34 29/50 11/11 18/18
445 45/45 07/07 07/41 46/46 11/47 45/45 08/08 33/33 14/19 20/20 19/30 38/38 24/24 16/18 33/33 02/02 07/07 40/40 17/17 27/27 10/14 42/42 45/45 18/19 40/40 18/48 34/34 50/50 11/11 42/42
446 45/45 07/50 07/07 46/48 12/12 43/45 08/08 03/03 19/19 22/22 19/46 11/38 10/22 36/36 22/22 02/02 20/20 08/40 17/17 27/27 14/14 09/09 29/29 06/31 32/32 18/48 34/34 29/29 11/11 18/18
447 03/45 50/50 41/41 46/46 11/12 43/43 08/25 03/03 19/19 20/22 19/30 38/38 22/22 36/36 33/33 02/02 07/07 40/40 17/34 12/27 10/10 09/42 29/29 09/18 40/40 48/48 34/34 50/50 11/11 07/42
448 45/45 07/50 07/07 46/48 12/12 29/43 08/08 03/03 19/19 22/22 30/46 11/11 22/22 36/36 22/22 02/02 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 18/18 34/34 50/50 11/11 18/18
449 45/45 07/07 41/41 46/46 12/12 45/45 08/08 03/48 14/19 20/22 19/19 04/38 22/34 18/36 33/33 02/32 07/07 40/40 17/34 12/27 10/14 42/42 45/45 18/18 40/40 18/18 34/46 50/50 11/11 42/42
450 45/45 50/50 41/41 46/46 12/12 45/45 13/25 03/03 19/19 22/22 19/19 38/38 22/22 16/36 22/33 02/32 20/20 40/40 17/17 27/27 10/14 09/42 29/29 06/31 40/40 18/18 34/46 29/50 11/11 18/18
